DATE,POC_Code,RH2M
2017-02-23,ARA2201,72.33
2017-02-24,ARA2201,67.57
2017-02-25,ARA2201,68.53
2017-02-26,ARA2201,68.91
2017-02-27,ARA2201,78.17
2017-02-28,ARA2201,78.08
2017-03-01,ARA2201,70.12
2017-03-02,ARA2201,65.82
2017-03-03,ARA2201,67.95
2017-03-04,ARA2201,75.38
2017-03-05,ARA2201,74.32
2017-03-06,ARA2201,67.1
2017-03-07,ARA2201,85.56
2017-03-08,ARA2201,92.18
2017-03-09,ARA2201,88.44
2017-03-10,ARA2201,87.9
2017-03-11,ARA2201,94.97
2017-03-12,ARA2201,94.19
2017-03-13,ARA2201,81.89
2017-03-14,ARA2201,79.41
2017-03-15,ARA2201,71.74
2017-03-16,ARA2201,75.46
2017-03-17,ARA2201,79.57
2017-03-18,ARA2201,75.49
2017-03-19,ARA2201,69.38
2017-03-20,ARA2201,81.0
2017-03-21,ARA2201,74.26
2017-03-22,ARA2201,85.25
2017-03-23,ARA2201,76.01
2017-03-24,ARA2201,84.73
2017-03-25,ARA2201,86.82
2017-03-26,ARA2201,96.87
2017-03-27,ARA2201,94.63
2017-03-28,ARA2201,87.99
